id|name|email|amount|date|category|region|status|notes|description
1|User1|user1@example.com|2615.02|2025-04-25|cat_C|region_West|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
2|User2|user2@example.com|5635.95|2025-10-07|cat_A|region_East|active|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
3|User3|user3@example.com|2008.04|2025-07-08|cat_C|region_South|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
4|User4|user4@example.com|5818.46|2025-06-06|cat_C|region_West|active|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
5|User5|user5@example.com|6118.43|2025-11-23|cat_A|region_West|active|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
6|User6|user6@example.com|8512.34|2025-01-22|cat_D|region_West|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
7|User7|user7@example.com|9290.48|2025-01-27|cat_D|region_South|active|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
8|User8|user8@example.com|5516.77|2025-03-28|cat_D|region_South|active|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
9|User9|user9@example.com|2746.36|2025-09-11|cat_C|region_North|active|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
10|User10|user10@example.com|5668.03|2025-03-17|cat_D|region_East|pending|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
11|User11|user11@example.com|8281.77|2025-04-14|cat_B|region_South|pending|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
12|User12|user12@example.com|2014.89|2025-05-23|cat_A|region_South|active|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
13|User13|user13@example.com|9041.09|2025-01-14|cat_C|region_East|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
14|User14|user14@example.com|5722.53|2025-12-28|cat_C|region_West|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
15|User15|user15@example.com|9323.00|2025-10-16|cat_C|region_North|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
16|User16|user16@example.com|6554.36|2025-06-11|cat_B|region_West|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
17|User17|user17@example.com|8148.24|2025-11-11|cat_C|region_North|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
18|User18|user18@example.com|2222.45|2025-09-07|cat_C|region_West|pending|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
19|User19|user19@example.com|8806.89|2025-08-23|cat_B|region_East|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
20|User20|user20@example.com|6516.92|2025-07-02|cat_C|region_West|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
21|User21|user21@example.com|5585.15|2025-04-18|cat_B|region_East|active|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
22|User22|user22@example.com|54.01|2025-11-22|cat_B|region_South|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
23|User23|user23@example.com|4701.02|2025-06-28|cat_B|region_South|pending|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
24|User24|user24@example.com|4164.93|2025-03-09|cat_B|region_East|active|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
25|User25|user25@example.com|2472.10|2025-11-06|cat_C|region_South|closed|xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx|info info info info info info info info info info info info info info info info info info info info 
